;;Additional  information;;;;;;;;;;;;;;;;;;;;;
;;Managed services;;;;;;;;;;;;;;;;;;;;;
;;Table of content;;;;;;;;;;;;;;;;;;;;;
;;Appendix;;;;;;;;;;;;;;;;;;;;;
;;References;;;;;;;;;;;;;;;;;;;;;
;;Commercials;;;;;;;;;;;;;;;;;;;;;
;;Technical approach;;;;;;;;;;;;;;;;;;;;;
;;SERVICE TRANSITION APPROACH;;;;;;;;;;;;;;;;;;;;;
;;Costs;;;;;;;;;;;;;;;;;;;;;
;;Assumptions;;;;;;;;;;;;;;;;;;;;;
;;Case Studies -  Confidential;;;;;;;;;;;;;;;;;;;;;
;;Application support & maintenance* ;;;;;;;;;;;;;;;;;;;;;
;;Further  Support services ;;;;;;;;;;;;;;;;;;;;;
;Customer FAQs and Response Library ;;;;;;;;;;;;;;;;;;;;;;
;Competitive Comparison ;;;;;;;;;;;;;;;;;;;;;;
;Lessons Learned ;;;;Lessons Learnt - web hosting;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Costs;;;;;;;;;;;;;;;;;;;;
;;Web hosting;;;;;;;;;;;;;;;;;;;;;
